theta,phi,areaA,areaB,areaI
0.2819234,1.7117448,0.12178421,0.12178421,0.07802963
0.2824951,5.5949845,0.121479034,0.121471405,0.08644867
0.28306547,3.1950388,0.12086868,0.12089157,0.09941864
0.2836349,0.795032,0.121543884,0.12151718,0.08396149
0.28420326,4.678272,0.12166977,0.1216774,0.07802582
0.28477028,2.278326,0.121536255,0.12154007,0.0824852
0.28533643,6.161566,0.12081146,0.12081528,0.09814072
0.2859015,3.761559,0.12129974,0.1212883,0.08759308
0.28646523,1.3616133,0.12161255,0.121658325,0.077171326
0.28702813,5.244853,0.12156296,0.12157059,0.07936096
0.28758994,2.8448462,0.1208725,0.12086105,0.09548569
0.2881505,0.4449005,0.12104416,0.12103653,0.09208679
0.28871018,4.3281403,0.12157822,0.1215744,0.07755661
0.28926882,1.9281945,0.12131882,0.121585846,0.077293396
0.2898262,5.811373,0.12098694,0.12099457,0.091026306
