theta,phi,areaA,areaB,areaI
0.86273324,6.098896,0.083740234,0.08374405,0.026184082
0.86275417,3.698523,0.08469772,0.08469772,0.012664795
0.86277515,1.3059626,0.08589172,0.08588028,0.0
0.86279607,5.188775,0.085803986,0.085803986,4.234314E-4
0.862817,2.788402,0.08395004,0.08395004,0.021339417
0.86283803,0.3880291,0.084114075,0.08411789,0.019836426
0.8628589,4.2708416,0.085803986,0.085819244,0.0
0.86287993,1.8704686,0.085811615,0.0858345,0.0
0.8629008,5.753281,0.08460617,0.084602356,0.013725281
0.86292183,3.3529081,0.08381271,0.08381653,0.02564621
0.8629427,0.95253515,0.08561325,0.08561325,0.002380371
0.86296374,4.8353477,0.085803986,0.0858078,0.0
0.8629846,2.4349747,0.08509445,0.08508301,0.0075187683
0.86300564,0.03460169,0.08346939,0.083465576,0.027378082
0.8630265,3.9174142,0.08526611,0.0852623,0.0057373047
0.86304754,1.5170412,0.085762024,0.085754395,0.0
0.8630684,5.3998537,0.08546448,0.08546448,0.0035171509
0.8630894,2.9994807,0.0836525,0.083660126,0.026752472
0.86311024,0.59910774,0.08476257,0.084754944,0.011001587
0.8631313,4.4819202,0.08585739,0.08584976,0.0
0.86315215,2.0815473,0.085746765,0.08575058,8.201599E-4
0.8631732,5.9721723,0.08393097,0.083927155,0.022846222
0.86319405,3.5717993,0.084243774,0.08423996,0.017978668
0.863215,1.1714263,0.085826874,0.085819244,0.0
0.86323595,5.054239,0.08584976,0.08585739,0.0
0.86325693,2.6538658,0.08441162,0.08443451,0.01550293
0.8632778,0.25349283,0.08382034,0.08382034,0.024585724
0.86329883,4.1363053,0.08558655,0.085575104,0.0017204285
0.86331975,1.7359324,0.085811615,0.085819244,0.0
0.8633407,5.618745,0.08494568,0.08494949,0.00875473
0.86336166,3.2183719,0.083480835,0.08350754,0.027244568
0.8633826,0.8179989,0.08531952,0.08531189,0.004764557
0.8634035,4.7008114,0.08570099,0.08570099,0.0
0.8634245,2.3004384,0.085357666,0.08536148,0.004295349
